Time - Voltage_1;Amplitude - Voltage_1
0;-0.000221
0.001;0.000915
0.002;0.006586
0.003;0.00367
0.004;-0.000582
0.005;-0.004914
0.006;-0.001033
0.007;0.006425
0.008;-0.001133
0.009;-0.000962
0.01;0.000963
0.011;-0.000582
0.012;0.001269
0.013;-0.001123
0.014;0.004943
0.015;-0.000803
0.016;-0.006639
0.017;0.004781
0.018;-0.000813
0.019;-0.001886
0.02;-0.000401
0.021;3.99E-05
0.022;0.008213
0.023;0.004024
0.024;-0.000708
0.025;0.004121
0.026;0.012241
0.027;0.011049
0.028;0.005088
0.029;0.002526
0.03;0.000786
0.031;0.002977
0.032;-0.002979
0.033;-0.004022
0.034;0.000182
0.035;-0.000722
0.036;-0.003059
0.037;-0.007031
0.038;-0.003099
0.039;-0.004503
0.04;-0.001093
0.041;-0.000662
0.042;0.006006
0.043;0.007826
0.044;0.004733
0.045;0.008777
0.046;-0.002999
0.047;0.00549
0.048;0.001656
0.049;0.003219
