Time - Voltage_1;Amplitude - Voltage_1
0;0.004008
0.001;-0.000171
0.002;-0.002267
0.003;-0.002818
0.004;-0.000893
0.005;-0.000492
0.006;0.009454
0.007;0.013884
0.008;0.008245
0.009;-0.000401
0.01;-0.000752
0.011;0.013207
0.012;-0.003831
0.013;0.004862
0.014;0.001495
0.015;0.004685
0.016;-0.005015
0.017;0.004121
0.018;-0.002417
0.019;-0.001003
0.02;-0.008996
0.021;-0.006629
0.022;-0.000542
0.023;-0.001043
0.024;-0.000199
0.025;0.000609
0.026;0.008133
0.027;0.007182
0.028;0.004604
0.029;0.001898
0.03;0.00491
0.031;0.016252
0.032;0.007295
0.033;0.003122
0.034;0.000182
0.035;0.003895
0.036;-0.002838
0.037;-0.006018
0.038;0.003766
0.039;-0.004323
0.04;0.01216
0.041;-0.006318
0.042;-0.001856
0.043;-0.003119
0.044;-0.001866
0.045;0.002316
0.046;0.011129
0.047;0.007665
0.048;0.002445
0.049;-0.010681
