Time - Voltage_1;Amplitude - Voltage_1
0;-0.008372
0.001;-0.003167
0.002;-0.000239
0.003;-0.00068
0.004;0.003117
0.005;0.012284
0.006;-0.001933
0.007;0.0128
0.008;0.003649
0.009;-0.000239
0.01;0.007209
0.011;0.007387
0.012;-0.000427
0.013;0.001554
0.014;-0.00059
0.015;-0.006035
0.016;-0.002164
0.017;-0.00421
0.018;0.009239
0.019;0.001458
0.02;-0.005785
0.021;-0.000489
0.022;-0.001151
0.023;-0.000188
0.024;0.006774
0.025;-1.80E-05
0.026;-0.003578
0.027;0.012945
0.028;0.009449
0.029;0.007709
0.03;-0.000539
0.031;0.001748
0.032;-0.000331
0.033;0.00236
0.034;-0.001713
0.035;0.002215
0.036;-0.000717
0.037;0.016312
0.038;-0.004621
0.039;0.014604
0.04;-0.00046
0.041;-0.003297
0.042;-0.000459
0.043;-0.001863
0.044;0.006211
0.045;0.004406
0.046;-0.00066
0.047;0.011608
0.048;0.004632
0.049;-0.004842
