Time - Voltage_1;Amplitude - Voltage_1
0;-0.008914
0.001;0.008901
0.002;-0.007911
0.003;-0.005684
0.004;-0.001562
0.005;-0.000198
0.006;-0.001502
0.007;0.002295
0.008;0.001071
0.009;0.011672
0.01;0.011543
0.011;-0.009596
0.012;-0.001201
0.013;0.002183
0.014;0.002972
0.015;0.002763
0.016;7.21E-05
0.017;-3.80E-05
0.018;-2.80E-05
0.019;-0.002966
0.02;-0.00775
0.021;0.000765
0.022;-0.005454
0.023;-7.81E-05
0.024;-0.004671
0.025;-0.003398
0.026;-0.000229
0.027;-0.001151
0.028;0.013751
0.029;0.000588
0.03;0.009642
0.031;0.004632
0.032;2.38E-05
0.033;0.003278
0.034;-0.001763
0.035;0.002521
0.036;0.000137
0.037;0.003584
0.038;-0.00751
0.039;0.0012
0.04;-0.003127
0.041;-0.000118
0.042;-0.001312
0.043;-0.005183
0.044;-0.005524
0.045;-0.000971
0.046;-0.001613
0.047;-0.000188
0.048;0.004036
0.049;0.008434
