Time - Voltage_1;Amplitude - Voltage_1
0;-0.000298
0.001;-0.001512
0.002;-0.005063
0.003;0.002489
0.004;-0.001492
0.005;-0.002636
0.006;-0.004611
0.007;-0.014139
0.008;-0.002806
0.009;-0.002395
0.01;-0.000669
0.011;0.0007
0.012;0.008676
0.013;0.00331
0.014;0.006823
0.015;0.000765
0.016;-0.002565
0.017;0.006259
0.018;-8.41E-06
0.019;0.001345
0.02;0.000668
0.021;-0.000492
0.022;-0.00418
0.023;0.001264
0.024;-0.002946
0.025;-0.012534
0.026;-0.008282
0.027;-0.003107
0.028;-0.003628
0.029;-0.002555
0.03;-0.000349
0.031;-0.00054
0.032;0.005711
0.033;-0.00429
0.034;0.004132
0.035;0.010754
0.036;0.007032
0.037;-0.00064
0.038;0.005018
0.039;-0.000128
0.04;0.000781
0.041;8.83E-05
0.042;-0.00776
0.043;-0.000556
0.044;0.001071
0.045;-0.00416
0.046;-0.003328
0.047;-0.002866
0.048;0.000153
0.049;-0.006045
