Time - Voltage_1;Amplitude - Voltage_1
0;0.001635
0.001;0.008466
0.002;0.001829
0.003;0.000185
0.004;-0.004487
0.005;0.00605
0.006;0.001958
0.007;-0.003454
0.008;0.001716
0.009;0.00257
0.01;-0.001037
0.011;-0.004507
0.012;-0.004146
0.013;-0.001899
0.014;-0.007064
0.015;-0.004456
0.016;0.008821
0.017;0.000185
0.018;-0.003313
0.019;-0.001327
0.02;0.004455
0.021;0.011511
0.022;0.00526
0.023;-0.003123
0.024;-0.004065
0.025;0.003166
0.026;0.01185
0.027;0.004406
0.028;-0.00209
0.029;-0.001197
0.03;0.000669
0.031;-0.004446
0.032;0.000201
0.033;-0.006151
0.034;0.000572
0.035;0.004165
0.036;-0.002581
0.037;0.000491
0.038;-0.001097
0.039;-0.00213
0.04;0.007097
0.041;0.011044
0.042;0.014492
0.043;0.00149
0.044;-0.004035
0.045;0.006501
0.046;-0.00213
0.047;-0.002501
0.048;0.002538
0.049;-0.000273
