Time - Voltage_1;Amplitude - Voltage_1
0;-0.00212
0.001;-0.002501
0.002;0.011415
0.003;0.010271
0.004;0.00207
0.005;-0.010103
0.006;-0.003915
0.007;0.004761
0.008;-0.003664
0.009;4.03E-05
0.01;0.000508
0.011;0.008144
0.012;-0.001959
0.013;-0.001899
0.014;0.01417
0.015;-0.004366
0.016;0.013332
0.017;0.006968
0.018;-0.001688
0.019;0.004664
0.02;-0.003283
0.021;-0.003133
0.022;0.002779
0.023;0.001845
0.024;-0.003574
0.025;0.001088
0.026;-0.002772
0.027;-0.003333
0.028;-0.003153
0.029;-0.00209
0.03;0.002103
0.031;0.00787
0.032;0.002457
0.033;-0.003584
0.034;-0.004176
0.035;-0.005048
0.036;0.007548
0.037;0.00837
0.038;-0.001167
0.039;0.001233
0.04;-0.001618
0.041;-0.006131
0.042;-0.001638
0.043;0.003343
0.044;-0.00552
0.045;-0.008939
0.046;-0.006432
0.047;0.00373
0.048;-0.00223
0.049;-0.0021
