Time - Voltage_1;Amplitude - Voltage_1
0;-0.004226
0.001;0.001329
0.002;-0.003955
0.003;2.42E-05
0.004;-0.001779
0.005;0.007322
0.006;0.000846
0.007;0.001813
0.008;-0.001428
0.009;0.001925
0.01;-0.003303
0.011;-0.001187
0.012;-0.001007
0.013;0.000459
0.014;-0.00213
0.015;5.64E-05
0.016;-0.003785
0.017;-0.005409
0.018;0.004036
0.019;-0.001317
0.02;-0.002601
0.021;0.002231
0.022;-0.003684
0.023;-0.000957
0.024;-0.001548
0.025;0.006211
0.026;0.014492
0.027;-0.00209
0.028;-0.008288
0.029;-0.004386
0.03;-0.001297
0.031;0.004793
0.032;0.000605
0.033;8.87E-05
0.034;-0.001327
0.035;-0.001147
0.036;0.001216
0.037;-0.001729
0.038;-0.0057
0.039;-0.011437
0.04;-0.003093
0.041;-0.002942
0.042;-0.001307
0.043;-0.002029
0.044;0.003021
0.045;0.006887
0.046;0.009369
0.047;-0.001819
0.048;0.00344
0.049;0.003665
