Time - Voltage_1;Amplitude - Voltage_1
0;-0.002982
0.001;-0.001327
0.002;0.003295
0.003;0.000926
0.004;0.000204
0.005;0.008805
0.006;0.001136
0.007;0.005019
0.008;-0.005299
0.009;-0.004306
0.01;0.000459
0.011;-0.001598
0.012;-0.004336
0.013;0.000185
0.014;-0.002912
0.015;0.004584
0.016;0.011705
0.017;0.007677
0.018;0.007016
0.019;-0.002481
0.02;-0.009942
0.021;0.004777
0.022;0.002892
0.023;0.001877
0.024;0.000508
0.025;0.011479
0.026;-0.001919
0.027;0.001474
0.028;-0.004477
0.029;-0.001327
0.03;0.004068
0.031;-0.001668
0.032;-0.003554
0.033;-0.00225
0.034;-0.000371
0.035;0.00149
0.036;0.001974
0.037;0.008466
0.038;0.004954
0.039;0.012059
0.04;0.000121
0.041;-0.002882
0.042;-0.001267
0.043;0.001974
0.044;0.000121
0.045;0.000717
0.046;-0.004436
0.047;-0.00236
0.048;-0.002641
0.049;0.009417
