Time - Voltage_1;Amplitude - Voltage_1
0;-0.003764
0.001;0.004197
0.002;0.006372
0.003;-0.009361
0.004;-0.003423
0.005;-0.002731
0.006;-0.00223
0.007;0.005115
0.008;0.012961
0.009;-0.001157
0.01;-0.006492
0.011;0.000234
0.012;-0.002521
0.013;-0.006482
0.014;0.000411
0.015;0.002538
0.016;-0.001067
0.017;0.008289
0.018;-0.004166
0.019;0.000975
0.02;0.002586
0.021;-0.001598
0.022;0.004036
0.023;-0.008267
0.024;-0.002681
0.025;-0.00238
0.026;-0.001899
0.027;0.001039
0.028;0.009175
0.029;-0.002631
0.03;0.002989
0.031;0.003907
0.032;-0.002892
0.033;0.00779
0.034;4.03E-05
0.035;-0.001287
0.036;0.000898
0.037;0.000117
0.038;0.003005
0.039;-0.003263
0.04;-0.001317
0.041;-0.001769
0.042;-0.001989
0.043;-0.004336
0.044;-0.005018
0.045;-0.001568
0.046;-0.002721
0.047;0.004954
0.048;0.01222
0.049;0.006195
