Time - Voltage_1;Amplitude - Voltage_1
0;-0.000737
0.001;-0.000415
0.002;0.001503
0.003;-0.000656
0.004;-0.002957
0.005;0.000222
0.006;-0.000592
0.007;0.00089
0.008;0.005079
0.009;-0.000179
0.01;-0.001673
0.011;0.000901
0.012;-0.000911
0.013;0.003903
0.014;0.002292
0.015;0.002195
0.016;0.000312
0.017;-0.000125
0.018;0.001438
0.019;0.005627
0.02;0.000471
0.021;0.000964
0.022;0.003194
0.023;-3.85E-05
0.024;-0.002746
0.025;0.000694
0.026;0.002518
0.027;0.003049
0.028;-0.002957
0.029;-0.003358
0.03;-0.000199
0.031;-0.000299
0.032;0.00147
0.033;0.007512
0.034;-0.000769
0.035;0.000794
0.036;0.018323
0.037;-0.000624
0.038;0.001454
0.039;0.001341
0.04;0.000513
0.041;0.002904
0.042;-0.000237
0.043;0.00147
0.044;-0.002064
0.045;-0.003148
0.046;0.001905
0.047;0.006368
0.048;0.006046
0.049;-0.003519
