Time - Voltage_1;Amplitude - Voltage_1
0;0.004838
0.001;-0.000399
0.002;0.000192
0.003;-0.00055
0.004;0.001535
0.005;-0.001382
0.006;0.001341
0.007;-0.001473
0.008;-0.005555
0.009;0.001213
0.01;-0.004401
0.011;-0.000834
0.012;-0.002345
0.013;0.000653
0.014;-0.001453
0.015;0.004564
0.016;0.007995
0.017;0.000149
0.018;-0.000109
0.019;-0.003117
0.02;0.000326
0.021;0.001712
0.022;0.000117
0.023;-0.000753
0.024;0.00263
0.025;0.00611
0.026;-0.002967
0.027;0.000457
0.028;0.000294
0.029;0.003065
0.03;-0.003057
0.031;-0.002937
0.032;-0.001092
0.033;-5.86E-05
0.034;-4.86E-05
0.035;0.006384
0.036;0.003307
0.037;0.001309
0.038;2.16E-05
0.039;0.00263
0.04;0.010557
0.041;0.005885
0.042;0.000403
0.043;0.001277
0.044;-0.000801
0.045;0.001374
0.046;0.000242
0.047;-0.000319
0.048;-0.004883
0.049;6.18E-05
