Time - sec;Amplitude - g
0;0.006094
0.001;0.012603
0.002;0.006143
0.003;0.002501
0.004;-0.007711
0.005;-0.00054
0.006;0.003951
0.007;0.001744
0.008;-0.000882
0.009;0.000391
0.01;0.003549
0.011;0.004258
0.012;-0.007009
0.013;0.005691
0.014;0.005095
0.015;0.000858
0.016;-0.004572
0.017;-0.00049
0.018;0.000684
0.019;-5.86E-05
0.02;0.000713
0.021;0.008511
0.022;0.006868
0.023;0.005724
0.024;-0.002877
0.025;0.004161
0.026;-0.00064
0.027;-6.86E-05
0.028;0.000924
0.029;0.003049
0.03;0.000403
0.031;-0.000334
0.032;-0.000753
0.033;0.000984
0.034;-0.00053
0.035;0.003806
0.036;0.000333
0.037;-0.001222
0.038;-0.000527
0.039;-2.85E-05
0.04;0.000235
0.041;0.001776
0.042;0.002953
0.043;0.001341
0.044;-0.000737
0.045;0.002888
0.046;0.001325
0.047;-0.00052
0.048;0.000633
0.049;0.000649
