Time - Voltage_1;Amplitude - Voltage_1
0;0.000834
0.001;-0.00055
0.002;-0.000624
0.003;-0.000995
0.004;0.002034
0.005;0.001213
0.006;0.005514
0.007;0.013956
0.008;0.00118
0.009;0.001664
0.01;-0.00085
0.011;0.003081
0.012;-0.002205
0.013;-0.00035
0.014;-0.001362
0.015;-0.00056
0.016;0.005369
0.017;-0.007811
0.018;0.000704
0.019;-0.001041
0.02;0.000353
0.021;-0.00055
0.022;0.010702
0.023;-0.000169
0.024;0.002211
0.025;-0.000882
0.026;0.006288
0.027;0.000939
0.028;0.000182
0.029;0.002211
0.03;0.000694
0.031;-0.000801
0.032;-0.001202
0.033;0.004064
0.034;0.003629
0.035;-0.002125
0.036;-0.000318
0.037;0.002034
0.038;-0.001362
0.039;-0.000979
0.04;-0.001212
0.041;0.00466
0.042;0.002953
0.043;0.000552
0.044;0.000302
0.045;0.000391
0.046;0.003146
0.047;0.006723
0.048;0.002534
0.049;-6.68E-05
