Time - Voltage_1;Amplitude - Voltage_1
0;0.004193
0.001;0.000133
0.002;-6.68E-05
0.003;-0.000753
0.004;0.003081
0.005;-0.000761
0.006;-0.003258
0.007;-0.003659
0.008;-0.003408
0.009;0.004145
0.01;0.014456
0.011;-0.004792
0.012;-0.00057
0.013;-0.000821
0.014;0.000694
0.015;-2.80E-05
0.016;-0.000624
0.017;0.000222
0.018;-0.000731
0.019;0.00176
0.02;0.000584
0.021;-0.000511
0.022;0.000616
0.023;-0.000952
0.024;0.002405
0.025;-0.000389
0.026;-0.005514
0.027;-0.005073
0.028;-0.001192
0.029;0.005176
0.03;-0.000791
0.031;-0.006156
0.032;-0.000249
0.033;-0.001172
0.034;0.000914
0.035;0.000117
0.036;0.006046
0.037;0.006465
0.038;0.008028
0.039;-0.000871
0.04;-0.000801
0.041;-0.00056
0.042;-0.000608
0.043;-0.000834
0.044;0.00197
0.045;-0.00061
0.046;-0.000319
0.047;-0.001533
0.048;-0.003709
0.049;0.000834
