Time - Voltage_1;Amplitude - Voltage_1
0;-0.002074
0.001;0.005289
0.002;-0.002646
0.003;-0.00408
0.004;-0.000921
0.005;-0.000169
0.006;0.000152
0.007;-0.00052
0.008;0.002598
0.009;0.010025
0.01;-0.001242
0.011;-0.000173
0.012;0.000543
0.013;-0.000781
0.014;0.003307
0.015;-0.000129
0.016;0.00284
0.017;-0.000871
0.018;0.000343
0.019;-0.003258
0.02;0.004515
0.021;-0.004832
0.022;0.010138
0.023;0.002018
0.024;-0.007179
0.025;0.000774
0.026;-0.000791
0.027;-0.000511
0.028;0.008463
0.029;0.005949
0.03;-0.00739
0.031;0.009316
0.032;0.006545
0.033;0.001793
0.034;-0.00062
0.035;0.000543
0.036;-0.000801
0.037;-0.000479
0.038;0.00458
0.039;-0.000872
0.04;-0.00047
0.041;0.008076
0.042;-0.00051
0.043;-0.005484
0.044;-0.002235
0.045;-0.000249
0.046;-0.0005
0.047;-0.0004
0.048;0.003049
0.049;0.000536
