Time - Voltage_1;Amplitude - Voltage_1
0;0.003907
0.001;0.003311
0.002;-0.001187
0.003;0.005147
0.004;0.000701
0.005;0.00199
0.006;0.001764
0.007;0.001104
0.008;0.001088
0.009;-0.002912
0.01;0.000996
0.011;-0.005921
0.012;-0.002521
0.013;-0.004256
0.014;0.008386
0.015;-0.004216
0.016;-0.002782
0.017;-0.001628
0.018;0.002231
0.019;0.005373
0.02;0.005437
0.021;0.006501
0.022;0.008176
0.023;0.003987
0.024;0.000379
0.025;0.000878
0.026;7.25E-05
0.027;0.001651
0.028;0.002103
0.029;0.003585
0.03;-0.003534
0.031;-0.008538
0.032;-0.00214
0.033;-0.002942
0.034;0.009723
0.035;-0.002481
0.036;-0.0023
0.037;-0.001277
0.038;0.000298
0.039;0.000653
0.04;0.00692
0.041;0.009691
0.042;-0.010755
0.043;0.010335
0.044;0.001571
0.045;0.001071
0.046;0.00294
0.047;0.000312
0.048;0.000556
0.049;-0.001227
