Time - Voltage_1;Amplitude - Voltage_1
0;3.22E-05
0.001;-0.001392
0.002;0.006323
0.003;-0.000476
0.004;0.005196
0.005;0.007709
0.006;0.002199
0.007;-7.92E-06
0.008;0.003133
0.009;0.004487
0.01;0.001103
0.011;-0.000427
0.012;-0.001643
0.013;-0.005524
0.014;-0.006777
0.015;0.011157
0.016;0.000765
0.017;-0.003769
0.018;-0.012374
0.019;-0.003578
0.02;-0.003618
0.021;0.001506
0.022;-0.000389
0.023;-0.002916
0.024;-0.001923
0.025;0.00302
0.026;0.008531
0.027;0.009014
0.028;0.010689
0.029;-0.000234
0.03;-0.000469
0.031;0.002988
0.032;-0.00084
0.033;-0.002134
0.034;-0.000339
0.035;-0.006045
0.036;-0.002425
0.037;-0.0008
0.038;-0.003628
0.039;-0.002936
0.04;-0.005363
0.041;0.001345
0.042;-0.000921
0.043;0.016441
0.044;0.006533
0.045;5.60E-05
0.046;-0.005263
0.047;-4.80E-05
0.048;0.024722
0.049;-0.001061
