Time - Voltage_1;Amplitude - Voltage_1
0;-0.001342
0.001;0.008949
0.002;-0.009335
0.003;-0.00063
0.004;0.005808
0.005;5.60E-05
0.006;-0.000669
0.007;-0.000298
0.008;-0.009836
0.009;-0.005554
0.01;-0.008563
0.011;0.000104
0.012;-0.001231
0.013;-0.006808
0.014;-0.002906
0.015;-0.001703
0.016;-0.003027
0.017;0.004309
0.018;0.006178
0.019;-0.003277
0.02;0.010254
0.021;0.001409
0.022;-0.002375
0.023;-0.000782
0.024;0.000217
0.025;3.99E-05
0.026;-0.00072
0.027;0.006984
0.028;-0.005674
0.029;-0.000509
0.03;-0.006697
0.031;-0.00405
0.032;-0.006015
0.033;-0.00416
0.034;-0.002034
0.035;-0.001853
0.036;-0.001201
0.037;0.007709
0.038;-0.000469
0.039;0.007564
0.04;0.007661
0.041;-0.010087
0.042;0.00128
0.043;0.004406
0.044;0.000314
0.045;-0.000186
0.046;0.002779
0.047;-0.003538
0.048;-0.002184
0.049;0.003037
