Time - Voltage_1,Amplitude - Voltage_1
0.15,0.01309
0.151,-0.003664
0.152,0.000862
0.153,0.000798
0.154,0.000943
0.155,0.002908
0.156,-0.003524
0.157,-0.002892
0.158,-0.004918
0.159,0.002747
0.16,-0.008308
0.161,-0.001317
0.162,0.002844
0.163,-0.001979
0.164,0.000282
0.165,0.002828
0.166,0.008402
0.167,0.001088
0.168,0.014218
0.169,0.005937
0.17,-0.009491
0.171,-0.003133
0.172,0.00816
0.173,-0.001187
0.174,0.000604
0.175,0.001587
0.176,0.001845
0.177,-0.003283
0.178,-0.010725
0.179,-0.010664
0.18,0.001039
0.181,0.001136
0.182,-0.004767
0.183,-0.002701
0.184,-0.001909
0.185,0.002215
0.186,0.01367
0.187,0.000991
0.188,0.000117
0.189,0.014411
0.19,0.001958
0.191,-0.001558
0.192,-0.00216
0.193,0.004696
0.194,0.0017
0.195,0.001281
0.196,-0.003674
0.197,-0.003544
0.198,-0.004697
0.199,-0.001628
