Time - Voltage_1,Amplitude - Voltage_1
0.3,-0.004166
0.301,0.002715
0.302,0.005937
0.303,-0.00224
0.304,-0.004216
0.305,-0.0021
0.306,0.000996
0.307,0.012462
0.308,-0.002401
0.309,0.002054
0.31,0.0041
0.311,0.00721
0.312,0.005389
0.313,-0.004426
0.314,0.001893
0.315,0.001088
0.316,0.001233
0.317,0.001458
0.318,-0.004527
0.319,-0.003383
0.32,0.003424
0.321,-0.009812
0.322,-0.015639
0.323,-0.0022
0.324,-0.003323
0.325,0.001104
0.326,-0.003103
0.327,0.005067
0.328,0.005035
0.329,0.016264
0.33,0.003585
0.331,-0.00219
0.332,0.017537
0.333,0.003166
0.334,0.003214
0.335,-0.001558
0.336,0.001523
0.337,0.003166
0.338,0.001313
0.339,-0.004136
0.34,-0.001207
0.341,-0.003383
0.342,-0.004136
0.343,0.000169
0.344,-0.005871
0.345,-0.003383
0.346,-0.001989
0.347,-0.001037
0.348,0.004874
0.349,-0.004737
