Time - Voltage_1,Amplitude - Voltage_1
0.45,-0.003955
0.451,-0.005078
0.452,-0.008789
0.453,0.007387
0.454,0.010529
0.455,-0.001097
0.456,-0.001628
0.457,-0.001337
0.458,0.004809
0.459,0.003843
0.46,0.003955
0.461,0.008015
0.462,5.64e-05
0.463,0.004132
0.464,0.004874
0.465,0.006662
0.466,-0.002471
0.467,0.001571
0.468,0.002602
0.469,-0.001257
0.47,-0.0022
0.471,0.001055
0.472,0.005792
0.473,0.008772
0.474,0.011109
0.475,-0.007535
0.476,0.000137
0.477,-0.002832
0.478,0.00315
0.479,0.002892
0.48,0.008192
0.481,-0.001037
0.482,0.003359
0.483,-0.003383
0.484,0.007661
0.485,0.007902
0.486,0.001216
0.487,-0.001508
0.488,0.00236
0.489,-0.006512
0.49,0.003617
0.491,-0.007796
0.492,0.002634
0.493,0.013042
0.494,-0.003965
0.495,-0.006583
0.496,-0.000664
0.497,-0.001618
0.498,0.006017
0.499,-0.002731
