Time - Voltage_1,Amplitude - Voltage_1
0.2,-0.005219
0.201,0.003166
0.202,0.010094
0.203,0.016747
0.204,0.000234
0.205,-0.00227
0.206,0.000943
0.207,0.002586
0.208,0.001007
0.209,-0.002461
0.21,-0.003133
0.211,-0.001358
0.212,-0.008719
0.213,0.012091
0.214,-0.00206
0.215,-0.004156
0.216,-0.002651
0.217,-0.001037
0.218,-0.001037
0.219,0.014476
0.22,0.004004
0.221,0.016296
0.222,-0.004597
0.223,0.014218
0.224,0.00576
0.225,-0.004286
0.226,0.004874
0.227,0.000491
0.228,0.002296
0.229,0.006098
0.23,-0.002029
0.231,-0.007666
0.232,-0.00233
0.233,-0.001147
0.234,0.00091
0.235,-0.006603
0.236,-0.002952
0.237,-0.001327
0.238,-0.002912
0.239,0.007693
0.24,0.008837
0.241,-0.003223
0.242,0.002763
0.243,0.006646
0.244,-0.006352
0.245,0.002699
0.246,-0.000957
0.247,-0.001087
0.248,-0.001929
0.249,-0.003915
