Time - Voltage_1,Amplitude - Voltage_1
0.0,0.000943
0.001,0.000201
0.002,-0.001187
0.003,-0.001197
0.004,-0.006041
0.005,-0.0021
0.006,0.001925
0.007,-0.004818
0.008,-0.004346
0.009,-0.003072
0.01,-0.00208
0.011,2.42e-05
0.012,0.008241
0.013,0.000443
0.014,0.007822
0.015,0.003971
0.016,-0.011256
0.017,0.007999
0.018,0.005373
0.019,0.001104
0.02,0.000395
0.021,0.003005
0.022,-0.004085
0.023,0.001716
0.024,-0.002631
0.025,-0.004517
0.026,0.010947
0.027,-0.006151
0.028,-0.004466
0.029,-0.004206
0.03,0.00033
0.031,-0.002039
0.032,0.00439
0.033,0.00613
0.034,0.004906
0.035,0.00439
0.036,-0.007957
0.037,-0.002591
0.038,-0.005118
0.039,0.002264
0.04,0.001925
0.041,0.000894
0.042,-0.002521
0.043,-0.005329
0.044,0.000798
0.045,-0.003333
0.046,0.017118
0.047,0.002167
0.048,-0.002782
0.049,-0.003754
