Time - Voltage_1,Amplitude - Voltage_1
0.15,-0.002411
0.151,0.000669
0.152,-0.001979
0.153,0.001635
0.154,0.00294
0.155,0.00758
0.156,0.006871
0.157,0.00207
0.158,0.008563
0.159,0.000685
0.16,0.006356
0.161,0.00207
0.162,8.87e-05
0.163,-0.00213
0.164,-0.001358
0.165,-0.001578
0.166,-0.00579
0.167,0.006469
0.168,-0.00556
0.169,0.002183
0.17,-0.003333
0.171,-0.004196
0.172,0.000508
0.173,0.000314
0.174,0.01338
0.175,0.005035
0.176,0.011044
0.177,-0.005169
0.178,-0.00219
0.179,0.002344
0.18,0.0017
0.181,0.002135
0.182,0.000185
0.183,0.00112
0.184,0.000411
0.185,-0.002862
0.186,-0.003283
0.187,2.42e-05
0.188,0.002199
0.189,0.008096
0.19,-0.005429
0.191,0.004165
0.192,-0.002902
0.193,0.00236
0.194,0.000105
0.195,0.000459
0.196,0.005953
0.197,0.01367
0.198,0.002457
0.199,0.00381
