Time - Voltage_1,Amplitude - Voltage_1
0.3,-0.003032
0.301,-0.003915
0.302,0.0186
0.303,0.004245
0.304,-0.003012
0.305,0.000636
0.306,0.000363
0.307,0.003101
0.308,-0.004807
0.309,-0.003785
0.31,-0.006442
0.311,-0.00223
0.312,-0.003273
0.313,-0.002611
0.314,-0.00226
0.315,-0.003995
0.316,0.000572
0.317,-0.001127
0.318,0.015652
0.319,0.002715
0.32,-0.001809
0.321,0.00729
0.322,0.006871
0.323,-0.001157
0.324,0.007161
0.325,0.00257
0.326,-0.001227
0.327,0.001941
0.328,-0.001418
0.329,0.006001
0.33,-0.001237
0.331,-0.004567
0.332,-0.001909
0.333,0.003053
0.334,0.003488
0.335,-0.001187
0.336,-0.001187
0.337,0.00041
0.338,-0.002992
0.339,0.004326
0.34,0.00729
0.341,0.000117
0.342,0.006565
0.343,-0.000371
0.344,0.001023
0.345,0.006469
0.346,0.000153
0.347,0.003826
0.348,-0.002561
0.349,-0.00206
