Time - Voltage_1,Amplitude - Voltage_1
0.0,0.000314
0.001,0.002699
0.002,-0.002531
0.003,-0.00218
0.004,0.001571
0.005,-0.005499
0.006,-0.006512
0.007,-0.003383
0.008,-0.001327
0.009,-0.005479
0.01,-0.003965
0.011,-0.001327
0.012,-0.001869
0.013,0.006549
0.014,0.004471
0.015,-0.004436
0.016,0.006984
0.017,-0.001538
0.018,-0.001277
0.019,0.004777
0.02,0.001297
0.021,-0.001107
0.022,0.001877
0.023,-0.001709
0.024,-0.006222
0.025,-0.003484
0.026,-0.003594
0.027,0.001668
0.028,0.003069
0.029,-0.001528
0.03,-0.005028
0.031,-0.001287
0.032,-0.001337
0.033,0.006485
0.034,0.011447
0.035,0.002973
0.036,0.002989
0.037,-0.006392
0.038,0.006839
0.039,0.004181
0.04,0.000613
0.041,0.00141
0.042,0.000898
0.043,0.000215
0.044,-0.001037
0.045,0.000266
0.046,-0.004005
0.047,-0.001358
0.048,-0.003805
0.049,-0.006222
