Time - Voltage_1,Amplitude - Voltage_1
0.2,-0.007987
0.201,-0.008318
0.202,-0.003664
0.203,-0.002521
0.204,0.00228
0.205,-0.001197
0.206,0.008386
0.207,0.01077
0.208,-0.003042
0.209,0.005196
0.21,0.000443
0.211,0.010416
0.212,0.004358
0.213,0.00141
0.214,0.001958
0.215,0.002795
0.216,-0.003062
0.217,0.002425
0.218,0.004567
0.219,-0.00219
0.22,0.005824
0.221,-0.011737
0.222,-0.003032
0.223,-0.002551
0.224,-0.00206
0.225,-0.001859
0.226,0.013863
0.227,-0.00573
0.228,0.003536
0.229,0.003472
0.23,-0.002802
0.231,0.014266
0.232,-0.001969
0.233,0.002441
0.234,0.000926
0.235,0.002376
0.236,0.000717
0.237,0.003069
0.238,0.004422
0.239,-0.007245
0.24,-0.004978
0.241,0.003053
0.242,-0.004206
0.243,-0.003163
0.244,-0.001678
0.245,-0.001889
0.246,0.001506
0.247,0.00982
0.248,0.002989
0.249,-0.005941
