Time - Voltage_1,Amplitude - Voltage_1
0.15,-0.001347
0.151,-0.000566
0.152,0.00816
0.153,-0.00218
0.154,0.002715
0.155,0.000266
0.156,-0.005209
0.157,-0.001137
0.158,-0.004968
0.159,-0.004597
0.16,0.00692
0.161,-0.000469
0.162,0.000427
0.163,-0.001237
0.164,-0.002842
0.165,0.001071
0.166,0.012091
0.167,-0.00211
0.168,-0.00211
0.169,0.005067
0.17,0.005067
0.171,0.011173
0.172,0.003665
0.173,0.000996
0.174,0.001023
0.175,0.000717
0.176,-0.001287
0.177,-0.002631
0.178,-0.003444
0.179,-0.006964
0.18,-0.001468
0.181,0.008257
0.182,0.003198
0.183,-0.004838
0.184,0.001571
0.185,-0.002661
0.186,0.003955
0.187,0.006307
0.188,0.001909
0.189,-0.004507
0.19,0.014121
0.191,0.008434
0.192,-0.004617
0.193,0.004567
0.194,-0.001187
0.195,0.003955
0.196,-0.003634
0.197,-0.003975
0.198,-0.001999
0.199,0.003488
