Time - Voltage_1;Amplitude - Voltage_1
0;0.010883
0.001;0.007258
0.002;0.004825
0.003;-0.001538
0.004;0.002731
0.005;0.000781
0.006;-0.001638
0.007;-0.004196
0.008;0.002215
0.009;0.000266
0.01;-0.004828
0.011;-0.005209
0.012;-0.003093
0.013;-0.001057
0.014;-0.00237
0.015;0.000959
0.016;-0.001739
0.017;0.006291
0.018;-0.006623
0.019;-0.003524
0.02;0.001088
0.021;0.008289
0.022;-0.002391
0.023;-0.001227
0.024;0.000459
0.025;0.001345
0.026;-0.00207
0.027;-0.00227
0.028;-0.006934
0.029;-0.005489
0.03;-0.008919
0.031;0.001345
0.032;0.001668
0.033;-0.003925
0.034;0.000459
0.035;-0.003123
0.036;0.005824
0.037;0.01077
0.038;0.000556
0.039;0.007612
0.04;0.001555
0.041;0.003182
0.042;-0.003123
0.043;0.001748
0.044;0.00033
0.045;0.003601
0.046;-0.00235
0.047;-0.003785
0.048;-0.006964
0.049;0.001249
