Time - Voltage_1;Amplitude - Voltage_1
0;0.00787
0.001;0.009916
0.002;0.000717
0.003;0.00178
0.004;0.00228
0.005;0.002022
0.006;0.001474
0.007;-0.004296
0.008;-0.003704
0.009;0.00721
0.01;-0.004477
0.011;-0.008528
0.012;-0.004426
0.013;-0.001839
0.014;-0.001488
0.015;-0.001648
0.016;0.007339
0.017;0.005437
0.018;0.003923
0.019;-0.001638
0.02;0.00257
0.021;0.006211
0.022;-0.001337
0.023;0.00323
0.024;-0.000762
0.025;0.003085
0.026;0.001104
0.027;-0.001939
0.028;-0.003333
0.029;-0.001568
0.03;-0.001799
0.031;-0.002671
0.032;0.005115
0.033;-0.003353
0.034;-0.001307
0.035;-0.001067
0.036;0.006179
0.037;0.009514
0.038;-0.001147
0.039;-0.001909
0.04;0.005454
0.041;0.006775
0.042;-0.001849
0.043;0.002876
0.044;0.000588
0.045;0.002264
0.046;0.005727
0.047;-0.003072
0.048;0.000137
0.049;0.002715
