Time - Voltage_1;Amplitude - Voltage_1
0;-0.001668
0.001;0.00083
0.002;-0.001829
0.003;0.001813
0.004;-0.002701
0.005;-0.003835
0.006;-0.001307
0.007;-0.001037
0.008;-0.008809
0.009;-0.002531
0.01;-0.001448
0.011;-0.001859
0.012;-0.0021
0.013;0.000443
0.014;0.007161
0.015;0.009594
0.016;0.001925
0.017;0.00352
0.018;-0.001488
0.019;0.007564
0.02;0.007854
0.021;0.000266
0.022;0.001329
0.023;-0.000469
0.024;-0.003795
0.025;0.003681
0.026;-0.008308
0.027;-0.001368
0.028;0.002505
0.029;-0.001588
0.03;0.010335
0.031;-0.004948
0.032;0.002554
0.033;-0.002461
0.034;0.004745
0.035;-0.001037
0.036;0.004439
0.037;0.003279
0.038;0.007516
0.039;-0.000957
0.04;0.003794
0.041;0.002924
0.042;0.000975
0.043;0.001023
0.044;0.000411
0.045;-0.004497
0.046;-0.006262
0.047;0.002763
0.048;-0.003303
0.049;0.010545
