Time - Voltage_1;Amplitude - Voltage_1
0;-0.005891
0.001;-0.002711
0.002;-0.00216
0.003;-0.001588
0.004;0.000298
0.005;0.013122
0.006;0.006066
0.007;0.003569
0.008;0.004406
0.009;0.00199
0.01;-0.00227
0.011;0.001039
0.012;0.000204
0.013;8.10E-06
0.014;0.007032
0.015;-0.006302
0.016;0.001506
0.017;1.94E-05
0.018;-0.00562
0.019;-0.003815
0.02;-0.00575
0.021;-0.002571
0.022;-0.004146
0.023;0.000215
0.024;-0.001418
0.025;0.010367
0.026;-0.002521
0.027;-0.001307
0.028;0.003859
0.029;0.013122
0.03;-0.003444
0.031;0.001088
0.032;0.000653
0.033;0.002328
0.034;0.002409
0.035;0.00141
0.036;-0.007746
0.037;0.004374
0.038;0.001152
0.039;-0.004276
0.04;-0.001187
0.041;-0.003464
0.042;-0.002892
0.043;-0.002631
0.044;0.002296
0.045;0.004632
0.046;-0.005259
0.047;0.006066
0.048;0.005663
0.049;0.001442
