Time - Voltage_1;Amplitude - Voltage_1
0;0.001974
0.001;-0.006312
0.002;-0.007014
0.003;-0.002912
0.004;-0.001799
0.005;-0.001257
0.006;1.94E-05
0.007;0.006162
0.008;-0.004286
0.009;0.002731
0.01;-0.001799
0.011;-0.001779
0.012;-0.001147
0.013;-0.00226
0.014;0.000379
0.015;0.001233
0.016;0.00547
0.017;0.000862
0.018;0.000898
0.019;-0.003173
0.02;0.003859
0.021;-0.003082
0.022;0.000282
0.023;-0.005911
0.024;-0.001017
0.025;-0.002972
0.026;0.0041
0.027;0.012043
0.028;0.004809
0.029;0.00982
0.03;-0.005018
0.031;0.004036
0.032;0.001055
0.033;0.001168
0.034;0.003569
0.035;-0.001598
0.036;0.006162
0.037;2.42E-05
0.038;-0.004547
0.039;-0.005038
0.04;-0.004557
0.041;0.001184
0.042;-0.004115
0.043;-0.003273
0.044;0.000636
0.045;-0.00221
0.046;0.001684
0.047;0.004342
0.048;0.013026
0.049;0.004857
